,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED
75618,0,0,1,0
75728,0,0,1,0
75787,0,0,1,0
75798,0,0,1,0
75857,0,0,1,0
75886,0,0,1,0
75992,0,0,1,0
76068,0,0,1,0
76079,0,0,1,0
76080,0,0,1,0
76107,0,0,1,0
76117,0,0,1,0
76203,0,0,1,0
76235,0,0,1,0
76236,0,0,1,0
76281,0,0,1,0
76413,0,0,1,0
76434,0,0,1,0
76447,0,0,1,0
76588,0,0,1,0
76614,0,0,1,0
76689,0,0,1,0
76690,0,0,1,0
76701,0,0,0,1
76710,0,0,1,0
76765,0,0,1,0
76802,0,0,1,0
76889,0,0,1,0
76893,0,0,1,0
76895,0,0,1,0
76972,0,0,1,0
77061,0,0,1,0
77084,0,0,1,0
77109,0,0,1,0
77111,0,0,1,0
77218,0,0,1,0
77283,0,0,1,0
77325,0,0,1,0
77507,0,0,1,0
77527,0,0,1,0
77714,0,0,1,0
77730,0,0,1,0
77733,0,0,1,0
77742,0,0,1,0
77780,0,0,1,0
77816,0,0,1,0
77819,0,0,1,0
77860,0,0,1,0
77903,0,0,1,0
77974,0,0,1,0
78031,0,0,1,0
78084,0,0,1,0
78103,0,0,1,0
78135,0,0,1,0
78178,0,0,1,0
78208,0,0,1,0
78259,0,0,1,0
78264,0,0,1,0
78273,0,0,1,0
78275,1,0,1,0
78313,0,0,1,0
78319,0,0,1,0
78403,0,0,1,0
78475,0,0,1,0
78512,0,0,1,0
78526,0,0,1,0
78579,0,0,1,0
78581,0,0,1,0
78608,0,0,1,0
78622,0,0,1,0
78638,0,0,1,0
78640,0,0,1,0
78644,0,0,1,0
78702,0,0,1,0
78753,0,0,1,0
78771,0,0,1,0
78816,0,0,1,0
78845,0,0,1,0
78859,0,0,1,0
78875,0,0,1,0
78879,0,0,1,0
78884,0,0,1,0
78892,0,0,1,0
78911,0,0,1,0
78931,0,0,1,0
78984,0,0,1,0
79002,0,0,1,0
79051,0,0,1,0
79076,0,0,1,0
79124,0,0,1,0
79137,0,0,1,0
79149,0,0,1,0
79155,0,0,1,0
79184,0,0,1,0
79201,0,0,1,0
79230,0,0,1,0
79239,0,0,1,0
79277,0,0,1,0
79289,0,0,1,0
79298,0,0,1,0
79321,0,0,1,0
79327,0,0,1,0
79329,0,0,1,0
79357,0,0,1,0
79360,0,0,1,0
79371,0,0,1,0
79427,0,0,1,0
79451,0,0,1,0
79495,0,0,1,0
79538,0,0,1,0
79546,0,0,1,0
79609,0,0,1,0
79621,0,0,1,0
79663,0,0,1,0
79678,0,0,1,0
79710,0,0,1,0
79733,0,0,1,0
79764,0,0,1,0
79816,0,0,1,0
79854,0,0,1,0
79886,0,0,1,0
79914,0,0,1,0
79952,0,0,1,0
79993,0,0,1,0
80013,0,0,1,0
80081,0,0,1,0
80084,0,0,1,0
80096,0,0,1,0
80135,0,0,1,0
80160,0,0,1,0
80166,0,0,1,0
80306,0,0,1,0
80310,0,0,1,0
80335,0,0,1,0
80336,0,0,1,0
80342,0,0,1,0
80361,0,0,1,0
80370,0,0,1,0
80372,0,0,1,0
80422,0,0,1,0
80465,0,0,1,0
80483,0,0,1,0
80503,0,0,1,0
80541,0,0,1,0
80546,0,0,1,0
80573,0,0,1,0
80602,0,0,1,0
80679,0,0,1,0
80687,0,0,1,0
80692,0,0,1,0
80737,0,0,1,0
80743,0,0,1,0
80748,0,0,1,0
80749,0,0,1,0
80845,0,0,1,0
80849,0,0,1,0
80896,0,0,1,0
80971,0,0,1,0
81010,0,0,1,0
81118,0,0,1,0
81135,0,0,1,0
81160,0,0,1,0
81167,0,0,1,0
81168,0,0,1,0
81199,0,0,1,0
81231,0,0,1,0
81417,0,0,1,0
81433,0,0,1,0
81464,0,0,1,0
81467,0,0,1,0
81502,0,0,1,0
81512,0,0,1,0
81516,0,0,1,0
81530,0,0,1,0
81578,0,0,1,0
81606,0,0,1,0
81774,0,0,1,0
81784,0,0,1,0
81832,0,0,1,0
81912,0,0,1,0
81921,0,0,1,0
81942,0,0,1,0
81965,0,0,1,0
82122,0,0,1,0
82160,0,0,1,0
82173,0,0,1,0
82247,0,0,1,0
82316,0,0,1,0
82357,0,0,1,0
82376,0,0,1,0
82404,0,0,1,0
82412,0,0,1,0
82430,0,0,1,0
82438,0,0,1,0
82440,0,0,1,0
82462,0,0,1,0
82574,0,0,1,0
82651,0,0,1,0
82663,0,0,1,0
82701,0,0,1,0
82750,0,0,1,0
82825,0,0,1,0
82853,0,0,1,0
82938,0,0,1,0
82957,0,0,1,0
82999,0,0,1,0
83052,0,0,1,0
83062,0,0,1,0
83150,0,0,1,0
83189,0,0,1,0
83198,0,0,1,0
83217,0,0,1,0
83247,0,0,1,0
83287,0,0,1,0
83340,0,0,1,0
83347,0,0,1,0
83393,0,0,1,0
83396,0,0,1,0
83421,0,0,1,0
83475,0,0,1,0
83499,0,0,1,0
83670,0,0,2,0
83753,0,0,1,0
83830,0,0,1,0
83849,0,0,1,0
83897,0,0,1,0
83937,0,0,1,0
83945,0,0,1,0
83949,0,0,1,0
83970,0,0,1,0
83974,0,0,1,0
83987,0,0,1,0
84041,0,0,1,0
84055,0,0,1,0
84068,0,0,1,0
84094,0,0,1,0
84118,0,0,1,0
84134,0,0,1,0
84162,0,0,1,0
84166,0,0,1,0
84182,0,0,1,0
84186,0,0,1,0
84211,0,0,1,0
84218,0,0,1,0
84226,0,0,1,0
84249,0,0,1,0
84300,0,0,1,0
84313,0,0,1,0
84332,0,0,1,0
84335,0,0,1,0
84547,0,0,1,0
84596,0,0,1,0
84632,0,0,1,0
84692,0,0,1,0
84734,0,0,1,0
84819,0,0,1,0
84833,0,0,1,0
84893,0,0,1,0
85004,0,0,1,0
85051,0,0,1,0
85141,0,0,1,0
85176,0,0,1,0
85184,0,0,1,0
85265,0,0,1,0
85285,0,0,1,0
85289,0,0,1,0
85304,0,0,1,0
85497,0,0,1,0
85527,0,0,1,0
85585,0,0,1,0
85635,0,0,1,0
85657,0,0,1,0
85724,0,0,1,0
85744,0,0,1,0
85791,0,0,1,0
85820,0,0,1,0
85862,0,0,1,0
85915,0,0,1,0
85922,0,0,1,0
86050,0,0,1,0
86054,0,0,1,0
86146,0,0,1,0
86147,0,0,1,0
86175,0,0,1,0
86183,0,0,1,0
86240,0,0,1,0
86253,0,0,1,0
86369,0,0,1,0
86544,1,0,1,0
86574,0,0,1,0
86589,0,0,1,0
86607,0,0,1,0
86624,0,0,1,0
86646,0,0,1,0
86662,0,0,1,0
86728,0,0,1,0
86737,0,0,1,0
86769,0,0,1,0
86789,0,0,1,0
86791,0,0,1,0
86800,0,0,1,0
86802,0,0,1,0
86809,0,0,1,0
86832,0,0,1,0
86847,0,0,1,0
86894,0,0,1,0
86971,0,0,1,0
86993,0,0,1,0
86995,0,0,1,0
87012,0,0,1,0
87052,0,0,1,0
87110,0,0,1,0
87131,0,0,1,0
87152,0,0,1,0
87179,0,0,1,0
87187,0,0,1,0
87243,0,0,1,0
87325,0,0,1,0
87384,0,0,1,0
87455,0,0,1,0
87476,0,0,1,0
87495,0,0,1,0
87513,0,0,1,0
87617,0,0,1,0
87692,0,0,1,0
87747,0,0,1,0
87767,0,0,1,0
87780,0,0,1,0
87833,0,0,1,0
87860,0,0,1,0
87881,0,0,1,0
87905,0,0,1,0
87908,1,0,1,0
87910,0,0,1,0
87951,0,0,1,0
87966,0,0,1,0
87984,0,0,1,0
87986,0,0,1,0
88108,0,0,1,0
88109,0,0,1,0
88130,0,0,1,0
88153,0,0,1,0
88182,0,0,1,0
88187,0,0,1,0
88208,0,0,1,0
88210,0,0,1,0
88249,0,0,1,0
88271,0,0,1,0
88273,0,0,1,0
88323,0,0,1,0
88399,0,0,1,0
88432,0,0,1,0
88458,0,0,1,0
88517,0,0,1,0
88524,0,0,1,0
88536,0,0,1,0
88560,0,0,1,0
88570,0,0,1,0
88600,0,0,1,0
88601,0,0,1,0
88638,0,0,1,0
88642,0,0,1,0
88646,0,0,1,0
88661,0,0,1,0
88697,0,0,1,0
88718,0,0,1,0
88816,0,0,1,0
88822,0,0,1,0
88887,0,0,1,0
88890,0,0,1,0
88909,0,0,1,0
88942,0,0,1,0
88968,0,0,1,0
88984,0,0,1,0
88998,0,0,1,0
88999,0,0,1,0
89079,0,0,1,0
89144,0,0,1,0
89145,0,0,1,0
89157,0,0,1,0
89288,0,0,1,0
89305,0,0,1,0
89320,0,0,1,0
89355,0,0,1,0
89369,0,0,1,0
89392,0,0,1,0
89394,0,0,1,0
89396,0,0,1,0
89405,0,0,1,0
89421,0,0,2,0
89428,0,0,1,0
89465,0,0,1,0
89505,0,0,1,0
89557,0,0,1,0
89587,0,0,1,0
89591,0,0,1,0
89594,0,0,1,0
89630,0,0,1,0
89673,0,0,1,0
89711,0,0,1,0
89718,0,0,1,0
89739,0,0,1,0
89775,0,0,1,0
89784,0,0,1,0
89801,0,0,1,0
89816,0,0,1,0
89819,0,0,1,0
89904,0,0,1,0
90107,0,0,1,0
90233,0,0,1,0
90290,0,0,1,0
90373,0,0,1,0
90381,0,0,1,0
90527,0,0,1,0
90537,0,0,1,0
90556,0,0,1,0
90576,0,0,1,0
90671,0,0,2,0
90676,0,0,1,0
90692,0,0,1,0
90710,0,0,1,0
90726,0,0,1,0
90728,0,0,1,0
90746,0,0,1,0
90769,0,0,1,0
90812,0,0,1,0
90834,0,0,1,0
90968,0,0,1,0
91007,1,0,1,0
91024,0,0,1,0
91063,0,0,1,0
91131,0,0,1,0
91143,0,0,1,0
91154,0,0,1,0
91163,0,0,1,0
91198,0,0,1,0
91218,0,0,1,0
91236,0,0,1,0
91244,0,0,1,0
91256,0,0,1,0
91274,0,0,1,0
91275,0,0,1,0
91301,0,0,1,0
91325,0,0,1,0
91332,0,0,1,0
91375,0,0,1,0
91488,0,0,1,0
91527,0,0,1,0
91613,0,0,1,0
91616,0,0,1,0
91658,0,0,1,0
91703,0,0,1,0
91708,0,0,1,0
91741,0,0,1,0
91763,0,0,1,0
91775,0,0,1,0
91779,0,0,1,0
91788,0,0,1,0
91806,0,0,1,0
91848,0,0,1,0
91856,0,0,1,0
91864,0,0,1,0
91980,0,0,1,0
91984,0,0,1,0
91994,0,0,1,0
92008,0,0,1,0
92010,0,0,1,0
92011,0,0,1,0
92036,0,0,1,0
92045,0,0,1,0
92093,0,0,1,0
92094,0,0,2,0
92152,0,0,1,0
92161,0,0,1,0
92205,0,0,1,0
92218,0,0,1,0
92219,0,0,1,0
92230,0,0,1,0
92326,0,0,1,0
92340,0,0,1,0
92346,0,0,1,0
92358,0,0,1,0
92362,0,0,1,0
92370,0,0,1,0
92377,0,0,1,0
92407,0,0,1,0
92435,0,0,1,0
92517,0,0,1,0
92524,0,0,1,0
92573,0,0,1,0
92604,0,0,1,0
92632,0,0,1,0
92658,0,0,1,0
92671,0,0,1,0
92685,0,0,0,1
92702,0,0,1,0
92740,0,0,1,0
92792,0,0,1,0
92834,0,0,1,0
93014,0,0,1,0
93017,0,0,1,0
93119,0,0,1,0
93172,0,0,1,0
93416,0,0,1,0
93430,0,0,1,0
93437,0,0,1,0
93449,0,0,1,0
93468,0,0,1,0
93489,0,0,1,0
93506,0,0,1,0
93530,0,0,1,0
93651,0,0,1,0
93718,0,0,1,0
93757,0,0,1,0
93785,0,0,1,0
93786,0,0,1,0
93824,0,0,1,0
93838,0,0,1,0
94012,0,0,1,0
94060,1,0,1,0
94125,0,0,1,0
94146,0,0,1,0
94198,0,0,1,0
94215,0,0,1,0
94297,0,0,1,0
94303,0,0,1,0
94335,0,0,1,0
94368,0,0,1,0
94409,0,0,1,0
94428,0,0,1,0
94431,0,0,1,0
94445,0,0,1,0
94451,0,0,1,0
94456,0,0,1,0
94530,0,0,1,0
94539,0,0,1,0
94559,0,0,1,0
94610,0,0,1,0
94683,0,0,1,0
94687,0,0,1,0
94698,0,0,1,0
94705,0,0,1,0
94720,0,0,1,0
94724,0,0,1,0
94732,0,0,1,0
94809,0,0,1,0
94813,0,0,1,0
94815,0,0,1,0
94845,0,0,1,0
94905,0,0,1,0
94982,0,0,1,0
95018,0,0,1,0
95245,0,0,1,0
95264,0,0,1,0
95295,0,0,1,0
95336,0,0,1,0
95345,0,0,1,0
95371,0,0,1,0
95432,0,0,1,0
95482,0,0,1,0
95504,0,0,1,0
95554,0,0,1,0
95654,0,0,1,0
95738,0,0,1,0
95781,0,0,1,0
95818,0,0,1,0
95824,0,0,1,0
95834,0,0,1,0
95878,1,0,1,0
96060,0,0,1,0
96061,0,0,1,0
96083,0,0,1,0
96122,0,0,1,0
96197,0,0,1,0
96213,0,0,1,0
96238,1,0,1,0
96244,0,0,1,0
96311,0,0,1,0
96338,0,0,2,0
96411,0,0,1,0
96496,0,0,1,0
96536,0,0,1,0
96567,0,0,1,0
96631,0,0,1,0
96634,0,0,1,0
96685,0,0,1,0
96709,0,0,1,0
96724,0,0,1,0
96744,0,0,1,0
96791,0,0,1,0
96832,0,0,1,0
96875,0,0,2,0
96925,0,0,1,0
96929,0,0,1,0
96960,0,0,1,0
96991,0,0,1,0
97004,0,0,1,0
97013,0,0,1,0
97035,0,0,1,0
97064,0,0,1,0
97142,0,0,1,0
97151,0,0,1,0
97185,0,0,1,0
97193,0,0,1,0
97206,0,0,1,0
97440,0,0,1,0
97461,0,0,1,0
97469,0,0,1,0
97504,0,0,1,0
97540,0,0,1,0
97547,0,0,1,0
97574,0,0,1,0
97596,0,0,1,0
97647,0,0,1,0
97695,0,0,1,0
97706,0,0,1,0
97735,0,0,1,0
97741,0,0,1,0
97761,0,0,1,0
97773,0,0,1,0
97968,0,0,1,0
97980,0,0,1,0
98027,0,0,1,0
98090,0,0,1,0
98172,0,0,1,0
98267,0,0,1,0
98344,0,0,1,0
98386,0,0,1,0
98432,0,0,1,0
98440,0,0,1,0
98467,0,0,1,0
98510,0,0,1,0
98544,0,0,1,0
98581,0,0,1,0
98691,0,0,1,0
98734,0,0,1,0
98803,0,0,1,0
98935,0,0,1,0
98954,0,0,1,0
98991,0,0,1,0
98995,0,0,1,0
99161,0,0,1,0
99339,0,0,1,0
99404,0,0,1,0
99429,0,0,1,0
99472,0,0,1,0
99510,0,0,1,0
99541,0,0,1,0
99552,0,0,1,0
99565,0,0,1,0
99614,0,0,1,0
99623,0,0,1,0
99706,0,0,1,0
99847,0,0,1,0
99963,0,0,1,0
99974,0,0,1,0
100074,0,0,1,0
100128,0,0,1,0
100163,0,0,1,0
100193,0,0,1,0
100209,0,0,1,0
100266,0,0,1,0
100296,0,0,1,0
100316,0,0,1,0
100336,0,0,1,0
100381,0,0,1,0
100501,0,0,1,0
100503,0,0,1,0
100526,0,0,1,0
100583,0,0,1,0
100612,0,0,1,0
100704,0,0,1,0
100734,0,0,1,0
100788,0,0,1,0
100882,0,0,1,0
100916,0,0,1,0
100933,0,0,1,0
100939,0,0,1,0
100986,0,0,1,0
101004,0,0,1,0
101006,0,0,1,0
101050,0,0,1,0
101052,0,0,1,0
101062,0,0,1,0
101067,0,0,1,0
101075,0,0,1,0
101097,0,0,1,0
101168,0,0,1,0
101205,1,0,1,0
101219,0,0,1,0
101301,0,0,1,0
101333,0,0,1,0
101382,0,0,1,0
101431,0,0,1,0
101432,0,0,1,0
101589,0,0,1,0
101650,0,0,1,0
101736,0,0,1,0
101773,0,0,1,0
102010,0,0,1,0
102033,0,0,1,0
102085,0,0,1,0
102096,0,0,1,0
102123,0,0,1,0
102127,0,0,1,0
102150,0,0,1,0
102171,0,0,1,0
102172,0,0,1,0
102198,0,0,1,0
102219,0,0,1,0
102291,0,0,1,0
102370,0,0,1,0
102394,0,0,0,1
102409,0,0,1,0
102431,0,0,1,0
102472,0,0,1,0
102496,1,0,1,0
102550,0,0,1,0
102579,0,0,1,0
102591,0,0,1,0
102593,0,0,1,0
102627,0,0,1,0
102661,0,0,1,0
102770,0,0,1,0
102772,0,0,1,0
102830,0,0,1,0
102939,0,0,1,0
102984,0,0,1,0
102992,0,0,1,0
103013,0,0,1,0
103102,0,0,1,0
103126,0,0,1,0
103128,0,0,1,0
103156,0,0,1,0
103186,0,0,1,0
103193,0,0,1,0
103199,0,0,1,0
103232,0,0,1,0
103275,0,0,1,0
103307,0,0,1,0
103310,0,0,1,0
103376,0,0,1,0
103384,0,0,1,0
103391,0,0,1,0
103393,0,0,1,0
103415,0,0,1,0
103497,0,0,1,0
103579,0,0,1,0
103617,0,0,1,0
103622,0,0,1,0
103688,0,0,1,0
103723,0,0,1,0
103731,0,0,1,0
103732,0,0,1,0
103740,0,0,1,0
103743,0,0,1,0
103798,0,0,1,0
103803,0,0,1,0
103807,0,0,1,0
103809,0,0,1,0
103867,0,0,1,0
103911,0,0,1,0
103952,0,0,1,0
103964,0,0,0,1
104000,0,0,1,0
104021,0,0,1,0
104040,0,0,1,0
104042,0,0,1,0
104043,0,0,1,0
104054,0,0,1,0
104115,0,0,1,0
104169,0,0,1,0
104206,0,0,1,0
104212,0,0,1,0
104280,0,0,1,0
104398,0,0,1,0
104424,0,0,1,0
104447,0,0,1,0
104450,0,0,1,0
104479,0,0,1,0
104495,0,0,1,0
104500,0,0,1,0
104520,0,0,1,0
104565,0,0,1,0
104567,0,0,1,0
104614,0,0,1,0
104678,0,0,1,0
104691,0,0,1,0
104713,0,0,1,0
104734,0,0,1,0
104748,0,0,1,0
104808,0,0,1,0
104820,0,0,1,0
104977,0,0,1,0
104986,0,0,1,0
104992,0,0,1,0
105029,0,0,1,0
105066,0,0,1,0
105091,0,0,1,0
105158,0,0,1,0
105225,0,0,1,0
105230,0,0,1,0
105243,0,0,1,0
105322,1,0,1,0
105361,0,0,1,0
105363,0,0,1,0
105383,0,0,1,0
105392,0,0,1,0
105401,0,0,1,0
105465,0,0,1,0
105485,0,0,1,0
105524,0,0,1,0
105555,0,0,1,0
105581,0,0,1,0
105595,0,0,1,0
105607,0,0,1,0
105608,0,0,1,0
105615,0,0,1,0
105654,0,0,1,0
105669,0,0,1,0
105691,0,0,1,0
105743,0,0,1,0
105835,0,0,1,0
105866,0,0,1,0
105898,0,0,1,0
105914,0,0,1,0
105917,0,0,1,0
105924,0,0,1,0
105936,0,0,1,0
105943,0,0,1,0
105945,0,0,1,0
106026,0,0,1,0
106057,0,0,1,0
106112,0,0,1,0
106148,0,0,1,0
106194,0,0,1,0
106226,0,0,1,0
106278,0,0,1,0
106298,0,0,1,0
106308,0,0,1,0
106309,0,0,1,0
106315,0,0,1,0
106370,0,0,1,0
106423,0,0,2,0
106441,0,0,1,0
106463,0,0,1,0
106479,0,0,1,0
106512,0,0,1,0
106602,0,0,1,0
106624,0,0,1,0
106652,0,0,2,0
106680,0,0,1,0
106690,0,0,1,0
106737,0,0,1,0
106816,0,0,1,0
106842,0,0,1,0
106860,0,0,1,0
106878,0,0,1,0
106945,0,0,1,0
106947,0,0,1,0
106975,0,0,1,0
106991,0,0,1,0
107025,0,0,1,0
107033,0,0,1,0
107054,0,0,1,0
107057,0,0,1,0
107067,0,0,1,0
107078,0,0,0,1
107099,0,0,1,0
107150,0,0,1,0
107169,0,0,1,0
107238,0,0,1,0
107241,0,0,1,0
107250,0,0,1,0
107264,0,0,1,0
107274,0,0,1,0
107300,0,0,1,0
107343,0,0,1,0
107382,0,0,1,0
107396,0,0,1,0
107451,0,0,1,0
107463,0,0,1,0
107465,0,0,1,0
107515,0,0,1,0
107581,0,0,1,0
107615,0,0,1,0
107630,0,0,2,0
107731,0,0,1,0
107756,0,0,1,0
107783,0,0,1,0
107786,0,0,1,0
107787,0,0,1,0
107793,0,0,1,0
107819,0,0,1,0
107849,0,0,1,0
107851,0,0,1,0
107916,0,0,1,0
107927,0,0,1,0
107934,0,0,1,0
107954,0,0,1,0
107998,0,0,1,0
108060,0,0,1,0
108072,0,0,1,0
108090,0,0,2,0
108197,0,0,1,0
108244,0,0,1,0
108245,0,0,1,0
108252,0,0,1,0
108271,0,0,1,0
108317,0,0,1,0
108329,0,0,1,0
108370,0,0,1,0
108397,0,0,1,0
108423,0,0,1,0
108516,0,0,1,0
108530,0,0,1,0
108531,0,0,1,0
108533,0,0,1,0
108568,0,0,1,0
108623,0,0,1,0
108626,0,0,1,0
108635,0,0,1,0
108681,0,0,1,0
108721,0,0,1,0
108743,0,0,1,0
108787,0,0,1,0
108829,0,0,1,0
108866,0,0,1,0
108915,0,0,1,0
108916,0,0,1,0
108928,0,0,1,0
108945,0,0,1,0
108951,0,0,1,0
108989,0,0,1,0
109000,0,0,1,0
109005,0,0,1,0
109049,0,0,1,0
109057,0,0,1,0
109087,0,0,1,0
109093,0,0,1,0
109095,1,0,1,0
109153,0,0,1,0
109186,0,0,1,0
109320,0,0,1,0
109327,0,0,1,0
109358,0,0,1,0
109410,0,0,1,0
109416,0,0,1,0
109438,0,0,1,0
109457,0,0,1,0
109476,0,0,1,0
109483,0,0,1,0
109498,0,0,1,0
109574,0,0,1,0
109590,0,0,1,0
109618,0,0,1,0
109659,0,0,1,0
109678,0,0,1,0
109712,0,0,1,0
109791,0,0,1,0
109832,0,0,1,0
109887,0,0,1,0
109928,0,0,1,0
109951,0,0,1,0
109954,0,0,1,0
109973,0,0,1,0
110033,0,0,1,0
110059,0,0,1,0
110066,0,0,1,0
110069,0,0,1,0
110077,0,0,1,0
110127,0,0,1,0
110159,0,0,1,0
110173,0,0,1,0
110267,0,0,1,0
110284,0,0,1,0
110286,0,0,1,0
110300,0,0,1,0
110367,0,0,1,0
110436,0,0,1,0
110508,0,0,1,0
110523,0,0,1,0
110550,0,0,1,0
110563,0,0,1,0
110654,0,0,1,0
110660,0,0,1,0
110702,0,0,1,0
110740,0,0,1,0
110748,0,0,1,0
110757,0,0,1,0
110792,0,0,1,0
111025,0,0,1,0
111028,0,0,1,0
111057,0,0,1,0
111089,0,0,1,0
111095,0,0,1,0
111130,0,0,2,0
111143,0,0,1,0
111165,0,0,1,0
111197,0,0,1,0
111232,0,0,1,0
111347,0,0,1,0
111348,0,0,1,0
111383,0,0,1,0
111452,0,0,1,0
111477,0,0,1,0
111498,0,0,1,0
111525,0,0,1,0
111559,0,0,1,0
111613,0,0,1,0
111663,0,0,1,0
111681,0,0,1,0
111685,0,0,1,0
111729,0,0,1,0
111740,0,0,1,0
111753,0,0,1,0
111789,0,0,1,0
111802,0,0,1,0
111838,0,0,1,0
111874,0,0,1,0
111880,0,0,1,0
111934,0,0,1,0
111954,0,0,1,0
111956,0,0,1,0
111970,0,0,1,0
111984,0,0,1,0
112076,0,0,1,0
112086,0,0,1,0
112103,0,0,1,0
112104,0,0,1,0
112165,0,0,1,0
112183,0,0,1,0
112203,0,0,1,0
112263,0,0,1,0
112282,0,0,1,0
112305,0,0,1,0
112307,0,0,1,0
112339,0,0,1,0
112358,0,0,1,0
112364,0,0,2,0
112425,0,0,1,0
112449,0,0,1,0
112452,0,0,1,0
112478,0,0,1,0
112481,0,0,1,0
112498,0,0,1,0
112555,0,0,1,0
112567,0,0,1,0
112569,0,0,1,0
112586,0,0,1,0
112704,0,0,1,0
112711,0,0,1,0
112744,0,0,1,0
112745,0,0,1,0
112769,0,0,1,0
112770,0,0,1,0
112781,0,0,1,0
112808,0,0,1,0
112921,0,0,1,0
112932,0,0,1,0
112982,0,0,1,0
113010,0,0,1,0
113037,1,0,1,0
113039,0,0,1,0
113077,0,0,1,0
113079,0,0,1,0
113101,0,0,2,0
113127,0,0,1,0
113151,0,0,1,0
113185,0,0,1,0
113199,0,0,1,0
113213,0,0,1,0
113220,0,0,1,0
113313,0,0,1,0
113326,0,0,1,0
113355,0,0,1,0
113358,0,0,1,0
113368,0,0,1,0
113437,0,0,1,0
113448,0,0,1,0
113461,0,0,1,0
113473,0,0,1,0
113480,0,0,1,0
113572,0,0,1,0
113579,0,0,1,0
113600,0,0,1,0
113612,0,0,1,0
113672,0,0,1,0
113686,0,0,1,0
113688,0,0,1,0
113702,0,0,1,0
113705,0,0,1,0
113778,0,0,1,0
113828,0,0,1,0
113847,0,0,1,0
113883,0,0,1,0
113935,0,0,1,0
113942,0,0,1,0
113977,0,0,1,0
113987,0,0,1,0
114020,0,0,1,0
114036,0,0,1,0
114053,0,0,1,0
114114,0,0,1,0
114115,0,0,1,0
114165,0,0,1,0
114184,0,0,1,0
114240,0,0,1,0
114265,0,0,1,0
114267,0,0,1,0
114283,0,0,1,0
114286,0,0,1,0
114438,0,0,1,0
114454,0,0,1,0
114456,0,0,1,0
114459,0,0,1,0
114481,0,0,1,0
114498,0,0,1,0
114524,0,0,1,0
114578,0,0,1,0
114621,0,0,1,0
114640,0,0,1,0
114646,0,0,1,0
114647,0,0,1,0
114654,0,0,1,0
114765,0,0,1,0
114774,0,0,1,0
114778,0,0,1,0
114895,0,0,1,0
114926,0,0,1,0
115017,0,0,1,0
115027,0,0,1,0
115047,0,0,1,0
115056,0,0,1,0
115094,0,0,1,0
115133,0,0,1,0
115204,0,0,1,0
115210,0,0,1,0
115220,0,0,1,0
115234,0,0,1,0
115254,0,0,1,0
115267,0,0,2,0
115306,0,0,1,0
115309,0,0,1,0
115322,0,0,1,0
115384,0,0,1,0
115458,0,0,1,0
115474,0,0,1,0
115484,0,0,1,0
115487,0,0,1,0
115489,0,0,1,0
115614,0,0,1,0
115615,0,0,1,0
115620,0,0,1,0
115627,0,0,1,0
115648,0,0,1,0
115668,0,0,1,0
115747,0,0,1,0
115752,0,0,1,0
115781,0,0,1,0
115830,0,0,1,0
115841,0,0,1,0
115907,0,0,1,0
115954,0,0,1,0
115990,0,0,1,0
115992,0,0,1,0
116080,0,0,1,0
116159,0,0,1,0
116242,0,0,1,0
116251,0,0,1,0
116289,0,0,1,0
116290,0,0,1,0
116327,0,0,1,0
116329,0,0,1,0
116521,0,0,1,0
116553,0,0,1,0
116589,0,0,1,0
116613,0,0,1,0
116683,0,0,1,0
116723,0,0,1,0
116739,0,0,1,0
116797,0,0,1,0
116857,0,0,1,0
116878,0,0,1,0
116901,0,0,1,0
116902,0,0,1,0
116924,0,0,1,0
116933,0,0,1,0
116979,0,0,1,0
117064,0,0,1,0
117157,0,0,1,0
117294,0,0,1,0
117302,0,0,1,0
117387,0,0,1,0
117406,0,0,1,0
117466,0,0,1,0
117478,0,0,1,0
117582,0,0,1,0
117590,0,0,1,0
117591,0,0,1,0
117632,0,0,1,0
117647,0,0,1,0
117718,0,0,1,0
117762,0,0,1,0
117809,0,0,1,0
117817,0,0,1,0
117855,0,0,1,0
117954,0,0,1,0
117982,0,0,1,0
117993,0,0,1,0
118093,0,0,1,0
118095,0,0,1,0
118101,0,0,1,0
118207,1,0,1,0
118230,0,0,1,0
118292,0,0,1,0
118346,0,0,1,0
118393,0,0,1,0
118405,0,0,1,0
118447,0,0,1,0
118463,0,0,1,0
118506,0,0,1,0
118540,0,0,1,0
118542,0,0,1,0
118562,0,0,1,0
118565,0,0,1,0
118579,0,0,1,0
118603,0,0,1,0
118613,0,0,1,0
118631,0,0,1,0
118647,0,0,1,0
118691,0,0,1,0
118720,0,0,1,0
118733,0,0,1,0
118776,0,0,1,0
118780,0,0,1,0
118797,0,0,1,0
118843,0,0,1,0
118865,1,0,1,0
118938,0,0,1,0
118947,0,0,1,0
118954,0,0,1,0
118971,0,0,1,0
119020,0,0,1,0
119086,0,0,1,0
119094,0,0,1,0
119116,0,0,1,0
119148,0,0,1,0
119174,0,0,1,0
119176,0,0,1,0
119188,0,0,1,0
119206,0,0,1,0
119225,0,0,1,0
119418,0,0,1,0
119434,0,0,1,0
119560,0,0,1,0
119588,0,0,1,0
119642,0,0,1,0
119663,0,0,1,0
119726,0,0,1,0
119735,0,0,0,1
119768,0,0,1,0
119839,0,0,1,0
119847,0,0,1,0
